"athlete","trainingDate","season","rpetl"
"Tony Cha",2015-10-15,"Fall 2015",0
"Kevin Querubin",2015-10-15,"Fall 2015",360
"Kordell Thompson",2015-10-15,"Fall 2015",450
"Joaquin Martinez",2015-10-15,"Fall 2015",360
"Rocky Mccarty",2015-10-15,"Fall 2015",360
"Keandre Johnson",2015-10-15,"Fall 2015",0
"Scott Lucero",2015-10-15,"Fall 2015",360
"Max Zuniga",2015-10-15,"Fall 2015",270
"Torben Mcclelland",2015-10-15,"Fall 2015",0
"Steve Galligan",2015-10-15,"Fall 2015",450
"Marzooq al-Fahs",2015-10-15,"Fall 2015",360
"Muhaajir al-Mirza",2015-10-15,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-10-15,"Fall 2015",360
"Taaha el-Qazi",2015-10-15,"Fall 2015",0
"Lawrence Tamayo",2015-10-15,"Fall 2015",360
"Bishr el-Hamdan",2015-10-15,"Fall 2015",450
"Arun Bruckner",2015-10-15,"Fall 2015",450
"Mori Tani",2015-10-15,"Fall 2015",540
"Saleem el-Sham",2015-10-15,"Fall 2015",270
"Kong Meng Hutchinson",2015-10-15,"Fall 2015",0
"Naadir el-Mahdavi",2015-10-15,"Fall 2015",0
"Tayyib al-Wahab",2015-10-15,"Fall 2015",450
"Brandon Troxel",2015-10-15,"Fall 2015",0
"Aqeel al-Hossain",2015-10-15,"Fall 2015",360
"Darin Russell",2015-10-15,"Fall 2015",270
"Sahl al-Sader",2015-10-15,"Fall 2015",270
"Benjamin Babatunde",2015-10-16,"Fall 2015",180
"Joo Garand",2015-10-16,"Fall 2015",180
"Aiden Jaeger",2015-10-16,"Fall 2015",120
"Tony Cha",2015-10-16,"Fall 2015",120
"Kevin Querubin",2015-10-16,"Fall 2015",0
"Kordell Thompson",2015-10-16,"Fall 2015",120
"Joaquin Martinez",2015-10-16,"Fall 2015",120
"Rocky Mccarty",2015-10-16,"Fall 2015",180
"Keandre Johnson",2015-10-16,"Fall 2015",60
"Scott Lucero",2015-10-16,"Fall 2015",120
"Max Zuniga",2015-10-16,"Fall 2015",120
"Torben Mcclelland",2015-10-16,"Fall 2015",60
"Steve Galligan",2015-10-16,"Fall 2015",120
"Marzooq al-Fahs",2015-10-16,"Fall 2015",120
"Muhaajir al-Mirza",2015-10-16,"Fall 2015",120
"Andrew Ortiz-Gonzales",2015-10-16,"Fall 2015",60
"Taaha el-Qazi",2015-10-16,"Fall 2015",120
"Lawrence Tamayo",2015-10-16,"Fall 2015",240
"Bishr el-Hamdan",2015-10-16,"Fall 2015",180
"Arun Bruckner",2015-10-16,"Fall 2015",180
"Mori Tani",2015-10-16,"Fall 2015",120
"Saleem el-Sham",2015-10-16,"Fall 2015",180
"Kong Meng Hutchinson",2015-10-16,"Fall 2015",120
"Naadir el-Mahdavi",2015-10-16,"Fall 2015",120
"Tayyib al-Wahab",2015-10-16,"Fall 2015",120
"Brandon Troxel",2015-10-16,"Fall 2015",180
"Aqeel al-Hossain",2015-10-16,"Fall 2015",180
"Darin Russell",2015-10-16,"Fall 2015",120
"Sahl al-Sader",2015-10-16,"Fall 2015",120
"Benjamin Babatunde",2015-10-17,"Fall 2015",0
"Joo Garand",2015-10-17,"Fall 2015",0
"Aiden Jaeger",2015-10-17,"Fall 2015",540
"Tony Cha",2015-10-17,"Fall 2015",405
"Kevin Querubin",2015-10-17,"Fall 2015",0
"Kordell Thompson",2015-10-17,"Fall 2015",0
"Joaquin Martinez",2015-10-17,"Fall 2015",540
"Rocky Mccarty",2015-10-17,"Fall 2015",540
"Keandre Johnson",2015-10-17,"Fall 2015",810
"Scott Lucero",2015-10-17,"Fall 2015",405
"Max Zuniga",2015-10-17,"Fall 2015",270
"Torben Mcclelland",2015-10-17,"Fall 2015",405
"Steve Galligan",2015-10-17,"Fall 2015",675
"Marzooq al-Fahs",2015-10-17,"Fall 2015",270
"Muhaajir al-Mirza",2015-10-17,"Fall 2015",675
"Andrew Ortiz-Gonzales",2015-10-17,"Fall 2015",0
"Taaha el-Qazi",2015-10-17,"Fall 2015",675
"Lawrence Tamayo",2015-10-17,"Fall 2015",405
"Bishr el-Hamdan",2015-10-17,"Fall 2015",0
"Arun Bruckner",2015-10-17,"Fall 2015",0
"Mori Tani",2015-10-17,"Fall 2015",405
"Saleem el-Sham",2015-10-17,"Fall 2015",0
"Kong Meng Hutchinson",2015-10-17,"Fall 2015",810
"Naadir el-Mahdavi",2015-10-17,"Fall 2015",675
"Tayyib al-Wahab",2015-10-17,"Fall 2015",0
"Brandon Troxel",2015-10-17,"Fall 2015",675
"Aqeel al-Hossain",2015-10-17,"Fall 2015",675
"Darin Russell",2015-10-17,"Fall 2015",675
"Sahl al-Sader",2015-10-17,"Fall 2015",810
"Benjamin Babatunde",2015-10-18,"Fall 2015",270
"Joo Garand",2015-10-18,"Fall 2015",360
"Aiden Jaeger",2015-10-18,"Fall 2015",270
"Tony Cha",2015-10-18,"Fall 2015",180
"Kevin Querubin",2015-10-18,"Fall 2015",360
"Kordell Thompson",2015-10-18,"Fall 2015",0
"Joaquin Martinez",2015-10-18,"Fall 2015",180
"Rocky Mccarty",2015-10-18,"Fall 2015",360
"Keandre Johnson",2015-10-18,"Fall 2015",90
"Scott Lucero",2015-10-18,"Fall 2015",270
"Max Zuniga",2015-10-18,"Fall 2015",270
"Torben Mcclelland",2015-10-18,"Fall 2015",90
"Steve Galligan",2015-10-18,"Fall 2015",270
"Marzooq al-Fahs",2015-10-18,"Fall 2015",180
"Muhaajir al-Mirza",2015-10-18,"Fall 2015",270
"Andrew Ortiz-Gonzales",2015-10-18,"Fall 2015",180
"Taaha el-Qazi",2015-10-18,"Fall 2015",270
"Lawrence Tamayo",2015-10-18,"Fall 2015",360
"Bishr el-Hamdan",2015-10-18,"Fall 2015",360
"Arun Bruckner",2015-10-18,"Fall 2015",450
"Mori Tani",2015-10-18,"Fall 2015",270
"Saleem el-Sham",2015-10-18,"Fall 2015",270
"Kong Meng Hutchinson",2015-10-18,"Fall 2015",0
"Naadir el-Mahdavi",2015-10-18,"Fall 2015",180
"Tayyib al-Wahab",2015-10-18,"Fall 2015",540
"Brandon Troxel",2015-10-18,"Fall 2015",180
"Aqeel al-Hossain",2015-10-18,"Fall 2015",270
"Darin Russell",2015-10-18,"Fall 2015",90
"Sahl al-Sader",2015-10-18,"Fall 2015",90
"Benjamin Babatunde",2015-10-19,"Fall 2015",165
"Joo Garand",2015-10-19,"Fall 2015",165
"Aiden Jaeger",2015-10-19,"Fall 2015",110
"Tony Cha",2015-10-19,"Fall 2015",110
"Kevin Querubin",2015-10-19,"Fall 2015",110
"Kordell Thompson",2015-10-19,"Fall 2015",55
"Joaquin Martinez",2015-10-19,"Fall 2015",110
"Rocky Mccarty",2015-10-19,"Fall 2015",110
"Keandre Johnson",2015-10-19,"Fall 2015",55
"Scott Lucero",2015-10-19,"Fall 2015",110
"Max Zuniga",2015-10-19,"Fall 2015",110
"Torben Mcclelland",2015-10-19,"Fall 2015",110
"Steve Galligan",2015-10-19,"Fall 2015",0
"Marzooq al-Fahs",2015-10-19,"Fall 2015",110
"Muhaajir al-Mirza",2015-10-19,"Fall 2015",110
"Andrew Ortiz-Gonzales",2015-10-19,"Fall 2015",55
"Taaha el-Qazi",2015-10-19,"Fall 2015",110
"Lawrence Tamayo",2015-10-19,"Fall 2015",165
"Bishr el-Hamdan",2015-10-19,"Fall 2015",55
"Arun Bruckner",2015-10-19,"Fall 2015",55
"Mori Tani",2015-10-19,"Fall 2015",55
"Saleem el-Sham",2015-10-19,"Fall 2015",110
"Kong Meng Hutchinson",2015-10-19,"Fall 2015",110
"Naadir el-Mahdavi",2015-10-19,"Fall 2015",55
"Tayyib al-Wahab",2015-10-19,"Fall 2015",165
"Brandon Troxel",2015-10-19,"Fall 2015",110
"Aqeel al-Hossain",2015-10-19,"Fall 2015",55
"Darin Russell",2015-10-19,"Fall 2015",110
"Sahl al-Sader",2015-10-19,"Fall 2015",110
"Benjamin Babatunde",2015-10-20,"Fall 2015",0
"Joo Garand",2015-10-20,"Fall 2015",0
"Aiden Jaeger",2015-10-20,"Fall 2015",0
"Tony Cha",2015-10-20,"Fall 2015",675
"Kevin Querubin",2015-10-20,"Fall 2015",0
"Kordell Thompson",2015-10-20,"Fall 2015",0
"Joaquin Martinez",2015-10-20,"Fall 2015",945
"Rocky Mccarty",2015-10-20,"Fall 2015",270
"Keandre Johnson",2015-10-20,"Fall 2015",945
"Scott Lucero",2015-10-20,"Fall 2015",0
"Max Zuniga",2015-10-20,"Fall 2015",0
"Torben Mcclelland",2015-10-20,"Fall 2015",810
"Steve Galligan",2015-10-20,"Fall 2015",675
"Marzooq al-Fahs",2015-10-20,"Fall 2015",0
"Muhaajir al-Mirza",2015-10-20,"Fall 2015",810
"Andrew Ortiz-Gonzales",2015-10-20,"Fall 2015",0
"Taaha el-Qazi",2015-10-20,"Fall 2015",945
"Lawrence Tamayo",2015-10-20,"Fall 2015",540
"Bishr el-Hamdan",2015-10-20,"Fall 2015",0
"Arun Bruckner",2015-10-20,"Fall 2015",0
"Mori Tani",2015-10-20,"Fall 2015",0
"Saleem el-Sham",2015-10-20,"Fall 2015",0
"Kong Meng Hutchinson",2015-10-20,"Fall 2015",945
"Naadir el-Mahdavi",2015-10-20,"Fall 2015",945
"Tayyib al-Wahab",2015-10-20,"Fall 2015",0
"Brandon Troxel",2015-10-20,"Fall 2015",945
"Aqeel al-Hossain",2015-10-20,"Fall 2015",675
"Darin Russell",2015-10-20,"Fall 2015",540
"Sahl al-Sader",2015-10-20,"Fall 2015",945
"Benjamin Babatunde",2015-10-21,"Fall 2015",180
"Joo Garand",2015-10-21,"Fall 2015",240
"Aiden Jaeger",2015-10-21,"Fall 2015",240
"Tony Cha",2015-10-21,"Fall 2015",240
"Kevin Querubin",2015-10-21,"Fall 2015",240
"Kordell Thompson",2015-10-21,"Fall 2015",180
"Joaquin Martinez",2015-10-21,"Fall 2015",0
"Rocky Mccarty",2015-10-21,"Fall 2015",240
"Keandre Johnson",2015-10-21,"Fall 2015",0
"Scott Lucero",2015-10-21,"Fall 2015",240
"Max Zuniga",2015-10-21,"Fall 2015",120
"Torben Mcclelland",2015-10-21,"Fall 2015",0
"Steve Galligan",2015-10-21,"Fall 2015",0
"Marzooq al-Fahs",2015-10-21,"Fall 2015",300
"Muhaajir al-Mirza",2015-10-21,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-10-21,"Fall 2015",180
"Taaha el-Qazi",2015-10-21,"Fall 2015",0
"Lawrence Tamayo",2015-10-21,"Fall 2015",0
"Bishr el-Hamdan",2015-10-21,"Fall 2015",180
"Arun Bruckner",2015-10-21,"Fall 2015",240
"Mori Tani",2015-10-21,"Fall 2015",240
"Saleem el-Sham",2015-10-21,"Fall 2015",180
"Kong Meng Hutchinson",2015-10-21,"Fall 2015",0
"Naadir el-Mahdavi",2015-10-21,"Fall 2015",0
"Tayyib al-Wahab",2015-10-21,"Fall 2015",240
"Brandon Troxel",2015-10-21,"Fall 2015",0
"Aqeel al-Hossain",2015-10-21,"Fall 2015",0
"Darin Russell",2015-10-21,"Fall 2015",0
"Sahl al-Sader",2015-10-21,"Fall 2015",0
"Benjamin Babatunde",2015-10-22,"Fall 2015",200
"Joo Garand",2015-10-22,"Fall 2015",250
"Aiden Jaeger",2015-10-22,"Fall 2015",150
"Tony Cha",2015-10-22,"Fall 2015",100
"Kevin Querubin",2015-10-22,"Fall 2015",150
"Kordell Thompson",2015-10-22,"Fall 2015",50
"Joaquin Martinez",2015-10-22,"Fall 2015",100
"Rocky Mccarty",2015-10-22,"Fall 2015",100
"Keandre Johnson",2015-10-22,"Fall 2015",150
"Scott Lucero",2015-10-22,"Fall 2015",100
"Max Zuniga",2015-10-22,"Fall 2015",150
"Torben Mcclelland",2015-10-22,"Fall 2015",100
"Steve Galligan",2015-10-22,"Fall 2015",100
"Marzooq al-Fahs",2015-10-22,"Fall 2015",100
"Muhaajir al-Mirza",2015-10-22,"Fall 2015",100
"Andrew Ortiz-Gonzales",2015-10-22,"Fall 2015",0
"Taaha el-Qazi",2015-10-22,"Fall 2015",100
"Lawrence Tamayo",2015-10-22,"Fall 2015",200
"Bishr el-Hamdan",2015-10-22,"Fall 2015",250
"Arun Bruckner",2015-10-22,"Fall 2015",150
"Mori Tani",2015-10-22,"Fall 2015",50
"Saleem el-Sham",2015-10-22,"Fall 2015",150
"Kong Meng Hutchinson",2015-10-22,"Fall 2015",50
"Naadir el-Mahdavi",2015-10-22,"Fall 2015",100
"Tayyib al-Wahab",2015-10-22,"Fall 2015",200
"Brandon Troxel",2015-10-22,"Fall 2015",100
"Aqeel al-Hossain",2015-10-22,"Fall 2015",50
"Darin Russell",2015-10-22,"Fall 2015",100
"Sahl al-Sader",2015-10-22,"Fall 2015",100
"Benjamin Babatunde",2015-10-23,"Fall 2015",0
"Joo Garand",2015-10-23,"Fall 2015",0
"Aiden Jaeger",2015-10-23,"Fall 2015",0
"Tony Cha",2015-10-23,"Fall 2015",405
"Kevin Querubin",2015-10-23,"Fall 2015",0
"Kordell Thompson",2015-10-23,"Fall 2015",0
"Joaquin Martinez",2015-10-23,"Fall 2015",945
"Rocky Mccarty",2015-10-23,"Fall 2015",270
"Keandre Johnson",2015-10-23,"Fall 2015",405
"Scott Lucero",2015-10-23,"Fall 2015",0
"Max Zuniga",2015-10-23,"Fall 2015",405
"Torben Mcclelland",2015-10-23,"Fall 2015",945
"Steve Galligan",2015-10-23,"Fall 2015",405
"Marzooq al-Fahs",2015-10-23,"Fall 2015",0
"Muhaajir al-Mirza",2015-10-23,"Fall 2015",675
"Andrew Ortiz-Gonzales",2015-10-23,"Fall 2015",0
"Taaha el-Qazi",2015-10-23,"Fall 2015",945
"Lawrence Tamayo",2015-10-23,"Fall 2015",675
"Bishr el-Hamdan",2015-10-23,"Fall 2015",0
"Arun Bruckner",2015-10-23,"Fall 2015",0
"Mori Tani",2015-10-23,"Fall 2015",0
"Saleem el-Sham",2015-10-23,"Fall 2015",0
"Kong Meng Hutchinson",2015-10-23,"Fall 2015",945
"Naadir el-Mahdavi",2015-10-23,"Fall 2015",270
"Tayyib al-Wahab",2015-10-23,"Fall 2015",0
"Brandon Troxel",2015-10-23,"Fall 2015",675
"Aqeel al-Hossain",2015-10-23,"Fall 2015",675
"Darin Russell",2015-10-23,"Fall 2015",810
"Sahl al-Sader",2015-10-23,"Fall 2015",945
"Benjamin Babatunde",2015-10-24,"Fall 2015",0
"Joo Garand",2015-10-24,"Fall 2015",0
"Aiden Jaeger",2015-10-24,"Fall 2015",0
"Tony Cha",2015-10-24,"Fall 2015",0
"Kevin Querubin",2015-10-24,"Fall 2015",0
"Kordell Thompson",2015-10-24,"Fall 2015",0
"Joaquin Martinez",2015-10-24,"Fall 2015",0
"Rocky Mccarty",2015-10-24,"Fall 2015",0
"Keandre Johnson",2015-10-24,"Fall 2015",0
"Scott Lucero",2015-10-24,"Fall 2015",0
"Max Zuniga",2015-10-24,"Fall 2015",0
"Torben Mcclelland",2015-10-24,"Fall 2015",0
"Steve Galligan",2015-10-24,"Fall 2015",0
"Marzooq al-Fahs",2015-10-24,"Fall 2015",0
"Muhaajir al-Mirza",2015-10-24,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-10-24,"Fall 2015",0
"Taaha el-Qazi",2015-10-24,"Fall 2015",0
"Lawrence Tamayo",2015-10-24,"Fall 2015",0
"Bishr el-Hamdan",2015-10-24,"Fall 2015",0
"Arun Bruckner",2015-10-24,"Fall 2015",0
"Mori Tani",2015-10-24,"Fall 2015",0
"Saleem el-Sham",2015-10-24,"Fall 2015",0
"Kong Meng Hutchinson",2015-10-24,"Fall 2015",0
"Tayyib al-Wahab",2015-10-24,"Fall 2015",0
"Brandon Troxel",2015-10-24,"Fall 2015",0
"Aqeel al-Hossain",2015-10-24,"Fall 2015",0
"Darin Russell",2015-10-24,"Fall 2015",0
"Sahl al-Sader",2015-10-24,"Fall 2015",0
"Benjamin Babatunde",2015-10-25,"Fall 2015",210
"Joo Garand",2015-10-25,"Fall 2015",210
"Aiden Jaeger",2015-10-25,"Fall 2015",210
"Tony Cha",2015-10-25,"Fall 2015",140
"Kevin Querubin",2015-10-25,"Fall 2015",280
"Kordell Thompson",2015-10-25,"Fall 2015",280
"Joaquin Martinez",2015-10-25,"Fall 2015",0
"Rocky Mccarty",2015-10-25,"Fall 2015",280
"Keandre Johnson",2015-10-25,"Fall 2015",0
"Scott Lucero",2015-10-25,"Fall 2015",210
"Max Zuniga",2015-10-25,"Fall 2015",210
"Torben Mcclelland",2015-10-25,"Fall 2015",0
"Steve Galligan",2015-10-25,"Fall 2015",280
"Marzooq al-Fahs",2015-10-25,"Fall 2015",420
"Muhaajir al-Mirza",2015-10-25,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-10-25,"Fall 2015",210
"Taaha el-Qazi",2015-10-25,"Fall 2015",0
"Lawrence Tamayo",2015-10-25,"Fall 2015",140
"Bishr el-Hamdan",2015-10-25,"Fall 2015",210
"Arun Bruckner",2015-10-25,"Fall 2015",210
"Mori Tani",2015-10-25,"Fall 2015",350
"Saleem el-Sham",2015-10-25,"Fall 2015",210
"Kong Meng Hutchinson",2015-10-25,"Fall 2015",0
"Tayyib al-Wahab",2015-10-25,"Fall 2015",350
"Brandon Troxel",2015-10-25,"Fall 2015",0
"Aqeel al-Hossain",2015-10-25,"Fall 2015",0
"Darin Russell",2015-10-25,"Fall 2015",0
"Sahl al-Sader",2015-10-25,"Fall 2015",0
"Benjamin Babatunde",2015-10-26,"Fall 2015",100
"Joo Garand",2015-10-26,"Fall 2015",100
"Aiden Jaeger",2015-10-26,"Fall 2015",100
"Tony Cha",2015-10-26,"Fall 2015",100
"Kevin Querubin",2015-10-26,"Fall 2015",100
"Kordell Thompson",2015-10-26,"Fall 2015",100
"Joaquin Martinez",2015-10-26,"Fall 2015",100
"Rocky Mccarty",2015-10-26,"Fall 2015",100
"Keandre Johnson",2015-10-26,"Fall 2015",50
"Scott Lucero",2015-10-26,"Fall 2015",100
"Max Zuniga",2015-10-26,"Fall 2015",100
"Torben Mcclelland",2015-10-26,"Fall 2015",100
"Steve Galligan",2015-10-26,"Fall 2015",100
"Marzooq al-Fahs",2015-10-26,"Fall 2015",100
"Muhaajir al-Mirza",2015-10-26,"Fall 2015",100
"Andrew Ortiz-Gonzales",2015-10-26,"Fall 2015",50
"Taaha el-Qazi",2015-10-26,"Fall 2015",100
"Lawrence Tamayo",2015-10-26,"Fall 2015",100
"Bishr el-Hamdan",2015-10-26,"Fall 2015",100
"Arun Bruckner",2015-10-26,"Fall 2015",50
"Mori Tani",2015-10-26,"Fall 2015",50
"Saleem el-Sham",2015-10-26,"Fall 2015",50
"Kong Meng Hutchinson",2015-10-26,"Fall 2015",100
"Tayyib al-Wahab",2015-10-26,"Fall 2015",50
"Brandon Troxel",2015-10-26,"Fall 2015",0
"Aqeel al-Hossain",2015-10-26,"Fall 2015",100
"Darin Russell",2015-10-26,"Fall 2015",50
"Sahl al-Sader",2015-10-26,"Fall 2015",100
"Benjamin Babatunde",2015-10-27,"Fall 2015",0
"Joo Garand",2015-10-27,"Fall 2015",0
"Aiden Jaeger",2015-10-27,"Fall 2015",0
"Tony Cha",2015-10-27,"Fall 2015",540
"Kevin Querubin",2015-10-27,"Fall 2015",0
"Kordell Thompson",2015-10-27,"Fall 2015",0
"Joaquin Martinez",2015-10-27,"Fall 2015",810
"Rocky Mccarty",2015-10-27,"Fall 2015",405
"Keandre Johnson",2015-10-27,"Fall 2015",1080
"Scott Lucero",2015-10-27,"Fall 2015",0
"Max Zuniga",2015-10-27,"Fall 2015",540
"Torben Mcclelland",2015-10-27,"Fall 2015",945
"Steve Galligan",2015-10-27,"Fall 2015",540
"Marzooq al-Fahs",2015-10-27,"Fall 2015",0
"Muhaajir al-Mirza",2015-10-27,"Fall 2015",945
"Andrew Ortiz-Gonzales",2015-10-27,"Fall 2015",0
"Taaha el-Qazi",2015-10-27,"Fall 2015",810
"Lawrence Tamayo",2015-10-27,"Fall 2015",540
"Bishr el-Hamdan",2015-10-27,"Fall 2015",0
"Arun Bruckner",2015-10-27,"Fall 2015",0
"Mori Tani",2015-10-27,"Fall 2015",0
"Saleem el-Sham",2015-10-27,"Fall 2015",0
"Kong Meng Hutchinson",2015-10-27,"Fall 2015",675
"Tayyib al-Wahab",2015-10-27,"Fall 2015",0
"Brandon Troxel",2015-10-27,"Fall 2015",810
"Aqeel al-Hossain",2015-10-27,"Fall 2015",675
"Darin Russell",2015-10-27,"Fall 2015",675
"Sahl al-Sader",2015-10-27,"Fall 2015",1080
"Benjamin Babatunde",2015-10-28,"Fall 2015",0
"Joo Garand",2015-10-28,"Fall 2015",0
"Aiden Jaeger",2015-10-28,"Fall 2015",0
"Tony Cha",2015-10-28,"Fall 2015",0
"Kevin Querubin",2015-10-28,"Fall 2015",0
"Kordell Thompson",2015-10-28,"Fall 2015",0
"Joaquin Martinez",2015-10-28,"Fall 2015",0
"Rocky Mccarty",2015-10-28,"Fall 2015",0
"Keandre Johnson",2015-10-28,"Fall 2015",0
"Scott Lucero",2015-10-28,"Fall 2015",0
"Max Zuniga",2015-10-28,"Fall 2015",0
"Torben Mcclelland",2015-10-28,"Fall 2015",0
"Steve Galligan",2015-10-28,"Fall 2015",0
"Marzooq al-Fahs",2015-10-28,"Fall 2015",0
"Muhaajir al-Mirza",2015-10-28,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-10-28,"Fall 2015",0
"Taaha el-Qazi",2015-10-28,"Fall 2015",0
"Lawrence Tamayo",2015-10-28,"Fall 2015",0
"Bishr el-Hamdan",2015-10-28,"Fall 2015",0
"Arun Bruckner",2015-10-28,"Fall 2015",0
"Mori Tani",2015-10-28,"Fall 2015",0
"Saleem el-Sham",2015-10-28,"Fall 2015",0
"Kong Meng Hutchinson",2015-10-28,"Fall 2015",0
"Tayyib al-Wahab",2015-10-28,"Fall 2015",0
"Brandon Troxel",2015-10-28,"Fall 2015",0
"Aqeel al-Hossain",2015-10-28,"Fall 2015",0
"Darin Russell",2015-10-28,"Fall 2015",0
"Sahl al-Sader",2015-10-28,"Fall 2015",0
"Benjamin Babatunde",2015-10-29,"Fall 2015",210
"Joo Garand",2015-10-29,"Fall 2015",280
"Aiden Jaeger",2015-10-29,"Fall 2015",350
"Tony Cha",2015-10-29,"Fall 2015",210
"Kevin Querubin",2015-10-29,"Fall 2015",280
"Kordell Thompson",2015-10-29,"Fall 2015",140
"Joaquin Martinez",2015-10-29,"Fall 2015",140
"Rocky Mccarty",2015-10-29,"Fall 2015",210
"Keandre Johnson",2015-10-29,"Fall 2015",40
"Scott Lucero",2015-10-29,"Fall 2015",280
"Max Zuniga",2015-10-29,"Fall 2015",140
"Torben Mcclelland",2015-10-29,"Fall 2015",40
"Steve Galligan",2015-10-29,"Fall 2015",210
"Marzooq al-Fahs",2015-10-29,"Fall 2015",350
"Muhaajir al-Mirza",2015-10-29,"Fall 2015",140
"Andrew Ortiz-Gonzales",2015-10-29,"Fall 2015",140
"Taaha el-Qazi",2015-10-29,"Fall 2015",70
"Lawrence Tamayo",2015-10-29,"Fall 2015",0
"Bishr el-Hamdan",2015-10-29,"Fall 2015",280
"Arun Bruckner",2015-10-29,"Fall 2015",280
"Mori Tani",2015-10-29,"Fall 2015",210
"Saleem el-Sham",2015-10-29,"Fall 2015",140
"Kong Meng Hutchinson",2015-10-29,"Fall 2015",280
"Tayyib al-Wahab",2015-10-29,"Fall 2015",210
"Brandon Troxel",2015-10-29,"Fall 2015",140
"Aqeel al-Hossain",2015-10-29,"Fall 2015",140
"Darin Russell",2015-10-29,"Fall 2015",210
"Sahl al-Sader",2015-10-29,"Fall 2015",140
"Benjamin Babatunde",2015-10-30,"Fall 2015",260
"Joo Garand",2015-10-30,"Fall 2015",260
"Aiden Jaeger",2015-10-30,"Fall 2015",195
"Tony Cha",2015-10-30,"Fall 2015",130
"Kevin Querubin",2015-10-30,"Fall 2015",130
"Kordell Thompson",2015-10-30,"Fall 2015",130
"Joaquin Martinez",2015-10-30,"Fall 2015",130
"Rocky Mccarty",2015-10-30,"Fall 2015",130
"Keandre Johnson",2015-10-30,"Fall 2015",130
"Scott Lucero",2015-10-30,"Fall 2015",130
"Max Zuniga",2015-10-30,"Fall 2015",195
"Torben Mcclelland",2015-10-30,"Fall 2015",130
"Steve Galligan",2015-10-30,"Fall 2015",195
"Marzooq al-Fahs",2015-10-30,"Fall 2015",130
"Muhaajir al-Mirza",2015-10-30,"Fall 2015",195
"Andrew Ortiz-Gonzales",2015-10-30,"Fall 2015",130
"Taaha el-Qazi",2015-10-30,"Fall 2015",130
"Lawrence Tamayo",2015-10-30,"Fall 2015",260
"Bishr el-Hamdan",2015-10-30,"Fall 2015",195
"Arun Bruckner",2015-10-30,"Fall 2015",195
"Mori Tani",2015-10-30,"Fall 2015",130
"Saleem el-Sham",2015-10-30,"Fall 2015",195
"Kong Meng Hutchinson",2015-10-30,"Fall 2015",130
"Tayyib al-Wahab",2015-10-30,"Fall 2015",130
"Brandon Troxel",2015-10-30,"Fall 2015",195
"Aqeel al-Hossain",2015-10-30,"Fall 2015",130
"Darin Russell",2015-10-30,"Fall 2015",130
"Sahl al-Sader",2015-10-30,"Fall 2015",130
"Benjamin Babatunde",2015-10-31,"Fall 2015",0
"Joo Garand",2015-10-31,"Fall 2015",0
"Aiden Jaeger",2015-10-31,"Fall 2015",825
"Tony Cha",2015-10-31,"Fall 2015",1485
"Kevin Querubin",2015-10-31,"Fall 2015",825
"Kordell Thompson",2015-10-31,"Fall 2015",0
"Joaquin Martinez",2015-10-31,"Fall 2015",990
"Rocky Mccarty",2015-10-31,"Fall 2015",1485
"Keandre Johnson",2015-10-31,"Fall 2015",1320
"Scott Lucero",2015-10-31,"Fall 2015",825
"Max Zuniga",2015-10-31,"Fall 2015",660
"Torben Mcclelland",2015-10-31,"Fall 2015",1320
"Steve Galligan",2015-10-31,"Fall 2015",1155
"Marzooq al-Fahs",2015-10-31,"Fall 2015",660
"Muhaajir al-Mirza",2015-10-31,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-10-31,"Fall 2015",0
"Taaha el-Qazi",2015-10-31,"Fall 2015",1155
"Lawrence Tamayo",2015-10-31,"Fall 2015",825
"Bishr el-Hamdan",2015-10-31,"Fall 2015",0
"Arun Bruckner",2015-10-31,"Fall 2015",0
"Mori Tani",2015-10-31,"Fall 2015",825
"Saleem el-Sham",2015-10-31,"Fall 2015",0
"Kong Meng Hutchinson",2015-10-31,"Fall 2015",1320
"Tayyib al-Wahab",2015-10-31,"Fall 2015",0
"Brandon Troxel",2015-10-31,"Fall 2015",1155
"Aqeel al-Hossain",2015-10-31,"Fall 2015",0
"Darin Russell",2015-10-31,"Fall 2015",0
"Sahl al-Sader",2015-10-31,"Fall 2015",495
"Benjamin Babatunde",2015-11-01,"Fall 2015",0
"Joo Garand",2015-11-01,"Fall 2015",0
"Aiden Jaeger",2015-11-01,"Fall 2015",0
"Tony Cha",2015-11-01,"Fall 2015",0
"Kevin Querubin",2015-11-01,"Fall 2015",0
"Kordell Thompson",2015-11-01,"Fall 2015",0
"Joaquin Martinez",2015-11-01,"Fall 2015",0
"Rocky Mccarty",2015-11-01,"Fall 2015",0
"Keandre Johnson",2015-11-01,"Fall 2015",0
"Scott Lucero",2015-11-01,"Fall 2015",0
"Max Zuniga",2015-11-01,"Fall 2015",0
"Torben Mcclelland",2015-11-01,"Fall 2015",0
"Steve Galligan",2015-11-01,"Fall 2015",0
"Marzooq al-Fahs",2015-11-01,"Fall 2015",0
"Muhaajir al-Mirza",2015-11-01,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-11-01,"Fall 2015",0
